City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,yeniseysk,58.4497,92.1703,23.13,69,86,1.82,RU,1690255030
163,thabazimbi,-24.5917,27.4116,14.53,52,47,1.24,ZA,1690255031
164,almyros,39.1822,22.7594,29.06,73,0,0.0,GR,1690255031
165,ribeira grande,38.5167,-28.7,21.54,87,12,1.34,PT,1690254878
166,zhalantun,48.0,122.7167,25.7,66,100,1.5,CN,1690255031
167,okha,53.5739,142.9478,19.73,68,40,4.95,RU,1690255031
168,hermanus,-34.4187,19.2345,9.58,66,0,2.62,ZA,1690254876
169,port elizabeth,-33.918,25.5701,4.16,93,0,1.54,ZA,1690254865
170,malvan,16.0667,73.4667,26.57,85,100,8.09,IN,1690254922
171,nagqu,31.5,92.0,5.63,89,100,2.3,CN,1690254954
172,janauba,-15.8025,-43.3089,19.93,55,53,4.42,BR,1690255032
173,colonia,50.9333,6.95,15.54,87,40,1.03,DE,1690254880
174,chegdomyn,51.1167,133.0167,19.59,96,100,0.59,RU,1690255032
175,east end,34.5507,-92.341,28.84,83,0,2.6,US,1690255032
176,wailua homesteads,22.0669,-159.378,28.24,88,100,8.23,US,1690254882
177,amursk,50.2261,136.8994,20.73,97,100,3.01,RU,1690255032
178,mansa,29.9833,75.3833,32.37,59,90,4.18,IN,1690255033
179,sanica,44.6142,16.6411,23.57,53,90,3.2,BA,1690255033
180,eyl,7.9803,49.8164,25.37,65,55,12.24,SO,1690254945
181,rengasdengklok,-6.1592,107.2981,29.07,66,6,3.7,ID,1690255033
182,wannweil,48.5167,9.15,16.46,94,0,0.51,DE,1690255033
183,madang,-5.2246,145.7966,26.98,81,100,1.19,PG,1690254898
184,invercargill,-46.4,168.35,8.22,80,62,8.2,NZ,1690254784
185,lackland air force base,29.3866,-98.618,31.14,60,0,6.69,US,1690254973
186,axim,4.8699,-2.2405,24.46,91,100,2.39,GH,1690254959
187,kulachi,31.9286,70.4592,31.79,61,96,5.54,PK,1690255034
188,pasil,17.3833,121.1333,19.95,97,100,2.19,PH,1690255034
189,arraial do cabo,-22.9661,-42.0278,20.9,89,6,9.5,BR,1690254958
190,dejen,10.1667,38.1333,12.22,90,100,1.41,ET,1690255034
191,shakhtinsk,49.71,72.5872,24.05,31,53,1.59,KZ,1690255034
192,martinsburg,39.4562,-77.9639,24.79,92,0,0.0,US,1690255034
193,binghamton,42.0987,-75.918,19.73,89,100,3.09,US,1690254781
194,saipan,15.1355,145.701,29.8,100,40,7.2,MP,1690254712
195,enewetak,11.3474,162.3373,28.68,79,43,7.25,MH,1690254888
196,taiynsha,53.8478,69.7639,21.4,53,72,4.58,KZ,1690255035
197,alofi,-19.0595,-169.9187,23.94,64,40,3.09,NU,1690254906
198,quellon,-43.1167,-73.6167,8.14,100,100,4.63,CL,1690255035
199,tofol,5.3248,163.0078,29.88,74,75,5.14,FM,1690254909
200,sinabang,2.4803,96.3801,28.76,71,61,0.95,ID,1690254895
201,hammerfest,70.6634,23.6821,12.25,82,100,2.06,NO,1690254924
202,kirensk,57.7853,108.1119,26.54,51,100,1.36,RU,1690254912
203,kimamba,-6.7833,37.1333,17.85,90,12,1.01,TZ,1690255035
204,yarumal,6.9632,-75.4174,11.73,99,100,1.52,CO,1690255036
205,port saint john's,-31.6229,29.5448,12.21,71,0,2.59,ZA,1690254876
206,campbell river,50.0163,-125.2446,17.37,94,40,1.03,CA,1690255036
207,chornobay,49.6708,32.3239,19.12,65,65,4.57,UA,1690255036
208,caleta de carquin,-11.0925,-77.6267,20.06,81,19,5.01,PE,1690254923
209,guinguineo,14.2667,-15.95,27.51,76,97,3.84,SN,1690255036
210,ladario,-19.0047,-57.6017,21.07,40,0,0.66,BR,1690255036
211,sitka,57.0531,-135.33,17.94,68,0,8.75,US,1690254871
212,jumla,29.2747,82.1838,18.33,91,96,1.14,NP,1690254904
213,mariental,-24.6333,17.9667,12.59,24,85,3.34,NA,1690255036
214,sibenik,43.7272,15.9058,30.81,51,73,6.59,HR,1690255037
215,paoua,7.2427,16.4406,20.52,95,92,1.13,CF,1690255037
216,karratha,-20.7377,116.8463,21.19,48,0,10.32,AU,1690254877
217,slawharad,53.4446,31.0014,14.95,94,94,2.67,BY,1690255037
218,rondonopolis,-16.4708,-54.6356,22.01,40,0,1.34,BR,1690255037
219,afaahiti,-17.75,-149.2833,27.93,81,5,8.01,PF,1690254875
220,rio brilhante,-21.8019,-54.5464,19.86,46,4,2.01,BR,1690254882
221,whitehorse,60.7161,-135.0538,20.57,59,75,3.09,CA,1690254873
222,tanout,14.9709,8.8879,28.94,52,74,7.37,NE,1690255037
223,kuusamo,65.9667,29.1833,11.42,99,100,2.49,FI,1690255037
224,vila vicosa,38.7777,-7.4179,14.82,95,10,2.44,PT,1690254740
225,bismarck,46.8083,-100.7837,27.58,67,0,4.12,US,1690255038
226,pangkalanbuun,-2.6833,111.6167,30.91,54,37,2.23,ID,1690255038
